user_id,item_id,recommend_False,recommend_True,price
76561198048353577,4000,0,1,9.99
diego9031,4000,0,1,9.99
76561198090715178,4000,0,1,9.99
DemonicWolvz,4000,0,1,9.99
76561198087010391,4000,0,1,9.99
hellcat59,4000,0,1,9.99
I_DID_911_JUST_SAYING,4000,0,1,9.99
TomoeMamiewe,4000,0,1,9.99
SlutOnTheSpit,4000,0,1,9.99
76561198082992295,4000,0,1,9.99
de_triggered,4000,0,1,9.99
76561198064579722,4000,0,1,9.99
hbk1462,4000,0,1,9.99
BugsyBro,4000,0,1,9.99
76561198067657905,4000,0,1,9.99
asdasdfsadgdfhfgjggj,4000,0,1,9.99
76561198097450390,4000,0,1,9.99
76561198142474106,4000,0,1,9.99
76561198172099661,4000,0,1,9.99
76561198107928649,4000,1,0,9.99
76561198012514677,4000,0,1,9.99
Yugm,4000,0,1,9.99
ashley1222,4000,0,1,9.99
76561198165512984,4000,0,1,9.99
EternumHD,4000,0,1,9.99
76561198047208774,4000,0,1,9.99
76561198162487321,4000,0,1,9.99
76561198066916378,4000,0,1,9.99
DANKESTMEMEMACHINEEVER,4000,0,1,9.99
poopeepeepoo,4000,0,1,9.99
76561198087871638,4000,0,1,9.99
ironcass,4000,0,1,9.99
LachieLobster,4000,0,1,9.99
nchavezzzzz,4000,0,1,9.99
macky121,4000,0,1,9.99
76561198053781096,4000,0,1,9.99
76561198063274178,4000,0,1,9.99
tehbluscoot,4000,0,1,9.99
76561198075747130,4000,0,1,9.99
mj10991,4000,0,1,9.99
54678907652,4000,0,1,9.99
76561198007041072,4000,0,1,9.99
nitr0ticwolf,4000,0,1,9.99
UncleTobsy,4000,0,1,9.99
76561198085759352,4000,0,1,9.99
ItzJimmeh,4000,0,1,9.99
minecraftdude1111,4000,0,1,9.99
76561198087480152,4000,1,0,9.99
76561198066636734,4000,0,1,9.99
76561198107946315,4000,0,1,9.99
NoSwagm8,4000,0,1,9.99
76561198056707717,4000,0,1,9.99
fgtkms,4000,0,1,9.99
76561198053916297,4000,0,1,9.99
76561198071088410,4000,0,1,9.99
76561198075313412,4000,0,1,9.99
76561198015930046,4000,0,1,9.99
76561198062278911,4000,0,1,9.99
Truebro115,4000,0,1,9.99
DatBoiOShitWhaddup,4000,0,1,9.99
TuPugFavorito,4000,0,1,9.99
76561198061207064,4000,0,1,9.99
fldwest,4000,0,1,9.99
Freeballin99,4000,0,1,9.99
UltraPonies,4000,0,1,9.99
TahuW,4000,0,1,9.99
lordthanatosbr,4000,1,0,9.99
dead5,4000,0,1,9.99
ArchangelItherael,4000,0,1,9.99
76561198093838282,4000,0,1,9.99
Kaboku,4000,0,1,9.99
FakMuther1234,4000,0,1,9.99
jahmezgamingofficial,4000,0,1,9.99
insenzato,4000,0,1,9.99
76561198067546287,4000,0,1,9.99
GaffyAreAwesome,4000,0,1,9.99
BestinTheWorldThund3r,4000,0,1,9.99
barbas1,4000,0,1,9.99
hugh244,4000,0,1,9.99
4RCH4NG3Ll,4000,0,1,9.99
PSLOVER9,4000,0,1,9.99
gamername13,4000,0,1,9.99
doyouevensmokeweed,4000,0,1,9.99
camjker,4000,0,1,9.99
GimmedatUnusual,4000,0,1,9.99
76561198081284814,4000,0,1,9.99
Haydzz,4000,0,1,9.99
Aviatorch,4000,0,1,9.99
scyana4,4000,0,1,9.99
76561198079557901,4000,0,1,9.99
YumiHayashibiara,4000,0,1,9.99
76561198143395684,4000,0,1,9.99
Dramiken,4000,0,1,9.99
76561198063000481,4000,0,1,9.99
nano11ful,4000,0,1,9.99
CaptainCrytec,4000,0,1,9.99
76561198048432706,4000,0,1,9.99
minecraftmodder,4000,0,1,9.99
