title,price,item_id,genres_Action,genres_Adventure,genres_Free to Play,t_recom,t_sent_neg,t_sent_pos
half-life,9.99,70,1,0,0,55,10,45
the ship: murder party,9.99,2400,1,0,0,19,7,13
the ship: murder party,9.99,2400,0,0,0,19,7,13
advent rising,9.99,3800,1,0,0,1,0,1
defcon,9.99,1520,0,0,0,6,1,7
the ship: single player,9.99,2420,1,0,0,2,0,2
the ship: single player,9.99,2420,0,0,0,2,0,2
garry's mod,9.99,4000,0,0,0,1514,162,1389
flatout 2™,9.99,2990,0,0,0,5,1,4
flatout,7.49,6220,0,0,0,3,0,3
the longest journey,9.99,6310,1,0,0,1,0,1
the longest journey,9.99,6310,0,1,0,1,0,1
the longest journey,9.99,6310,0,0,0,1,0,1
sid meier's railroads!,9.99,7600,0,0,0,1,0,1
tomb raider: anniversary,8.99,8000,1,0,0,1,0,1
tomb raider: anniversary,8.99,8000,0,1,0,1,0,1
devil may cry® 3 special edition,19.99,6550,1,0,0,3,3,1
ultimate doom,4.99,2280,1,0,0,8,3,5
master levels for doom ii,14.99,9160,1,0,0,1,1,0
doom ii,4.99,2300,1,0,0,2,0,2
wolfenstein 3d,4.99,2270,1,0,0,4,1,3
return to castle wolfenstein,4.99,9010,1,0,0,1,1,0
quake,4.99,2310,1,0,0,3,1,2
bioshock™,19.99,7670,1,0,0,61,10,52
bioshock™,19.99,7670,0,0,0,61,10,52
"warhammer® 40,000: dawn of war® - game of the year edition",12.99,4570,0,0,0,9,1,8
"warhammer® 40,000: dawn of war® - dark crusade",12.99,4580,0,0,0,12,0,12
rome: total war™ - collection,9.99,4760,0,0,0,17,3,14
manhunt,9.99,12130,1,0,0,1,1,0
max payne 2: the fall of max payne,9.99,12150,1,0,0,0,0,1
tomb raider: legend,6.99,7000,1,0,0,2,0,2
tomb raider: legend,6.99,7000,0,1,0,2,0,2
max payne,9.99,12140,1,0,0,4,2,2
command &amp; conquer: red alert 3,19.99,17480,0,0,0,10,0,10
puzzlequest: challenge of the warlords,9.99,12500,0,0,0,3,0,3
rollercoaster tycoon® 3: platinum,19.99,2700,0,0,0,7,1,6
unreal gold,9.99,13250,1,0,0,1,0,1
tom clancy's splinter cell®,9.99,13560,1,0,0,0,0,1
far cry®,9.99,13520,1,0,0,4,2,3
silent hunter®: wolves of the pacific,9.99,15200,0,0,0,1,0,1
il-2 sturmovik: 1946,9.99,15320,0,0,0,7,0,8
bone: out from boneville,9.99,8310,0,1,0,1,0,1
sprint cars road to knoxville,9.99,12590,0,0,0,1,0,1
eternity's child,4.99,19500,0,1,0,0,0,1
eternity's child,4.99,19500,0,0,0,0,0,1
pacific storm allies,7.99,11260,0,0,0,0,1,0
flatout: ultimate carnage,19.99,12360,0,0,0,2,0,2
oddworld: abe's exoddus®,2.99,15710,0,1,0,3,0,3
oddworld: abe's oddysee®,2.99,15700,0,1,0,18,1,17
x-com: enforcer,4.99,7770,0,0,0,1,1,0
x-com: apocalypse,4.99,7660,0,0,0,1,0,1
x-com: ufo defense,4.99,7760,0,0,0,2,1,1
s.t.a.l.k.e.r.: clear sky,9.99,20510,1,0,0,4,0,5
s.t.a.l.k.e.r.: clear sky,9.99,20510,0,0,0,4,0,5
crysis warhead®,19.99,17330,1,0,0,2,0,2
crysis,19.99,17300,1,0,0,7,4,5
x-com: interceptor,4.99,7730,0,0,0,1,0,1
the witcher: enhanced edition director's cut,9.99,20900,1,0,0,18,1,18
the witcher: enhanced edition director's cut,9.99,20900,0,0,0,18,1,18
sid meier's civilization iv: colonization,19.99,16810,0,0,0,1,1,0
tom clancy's rainbow six® 3 gold,9.99,19830,1,0,0,1,0,1
lego batman,19.99,21000,1,0,0,3,0,4
lego batman,19.99,21000,0,1,0,3,0,4
brothers in arms: hell's highway™,9.99,15390,1,0,0,3,1,2
xpand rally xtreme,4.99,3050,0,0,0,1,0,1
world of goo,9.99,22000,0,0,0,6,1,6
x3: terran conflict,15.99,2820,1,0,0,1,1,1
x3: terran conflict,15.99,2820,0,0,0,1,1,1
bully: scholarship edition,14.99,12200,1,0,0,22,3,19
bully: scholarship edition,14.99,12200,0,1,0,22,3,19
far cry® 2: fortune's edition,9.99,19900,1,0,0,8,3,9
space trader: merchant marine,4.99,11240,1,0,0,1,1,2
space trader: merchant marine,4.99,11240,0,0,0,1,1,2
saints row 2,9.99,9480,1,0,0,32,4,32
dead space,19.99,17470,1,0,0,16,3,13
mirror's edge™,19.99,17410,1,0,0,64,10,60
mirror's edge™,19.99,17410,0,1,0,64,10,60
defense grid: the awakening,9.99,18500,0,0,0,3,1,2
f.e.a.r. 2: project origin,14.99,16450,1,0,0,1,1,0
larva mortus,4.99,11340,1,0,0,1,0,1
larva mortus,4.99,11340,0,0,0,1,0,1
knights of honor,9.99,25830,0,0,0,2,1,1
penumbra overture,9.99,22180,1,0,0,4,1,3
penumbra overture,9.99,22180,0,1,0,4,1,3
penumbra overture,9.99,22180,0,0,0,4,1,3
unreal tournament 3 black,19.99,13210,1,0,0,4,0,4
the graveyard,4.99,27020,0,0,0,2,0,2
burnout paradise: the ultimate box,19.99,24740,0,0,0,31,4,29
obulis,4.99,11330,0,0,0,1,0,1
two worlds epic edition,9.99,1930,0,0,0,3,1,2
x-blades,9.99,7510,1,0,0,1,0,1
x-blades,9.99,7510,0,1,0,1,0,1
x-blades,9.99,7510,0,0,0,1,0,1
zeno clash,9.99,22200,1,0,0,6,1,5
zeno clash,9.99,22200,0,0,0,6,1,5
king's bounty: the legend,6.99,25900,0,0,0,1,0,1
death track®: resurrection,2.99,7840,0,0,0,1,0,1
freedom force,4.99,8880,0,0,0,1,0,1
darkest hour: europe '44-'45,0.0,1280,1,0,0,1,0,1
darkest hour: europe '44-'45,0.0,1280,0,0,0,1,0,1
prototype™,19.99,10150,1,0,0,9,1,8
prototype™,19.99,10150,0,1,0,9,1,8
port royale 2,4.99,12470,0,0,0,0,1,0
the elder scrolls iv: oblivion® game of the year edition,14.99,22330,0,0,0,21,6,16
the elder scrolls iii: morrowind® game of the year edition,14.99,22320,0,0,0,14,2,12
nancy drew®: legend of the crystal skull,6.99,31860,0,1,0,1,0,1
nancy drew®: the white wolf of icicle creek,6.99,31930,0,1,0,1,0,1
street fighter® iv,19.99,21660,1,0,0,2,0,3
"star wars: battlefront 2 (classic, 2005)",9.99,6060,1,0,0,84,13,75
the secret of monkey island: special edition,9.99,32360,0,1,0,2,0,2
3d ultra™ minigolf adventures,9.99,10140,0,0,0,1,1,0
timeshift™,19.99,10130,1,0,0,2,0,2
tropico reloaded,6.99,33520,0,0,0,0,1,0
foreign legion: buckets of blood,4.99,36000,1,0,0,1,0,1
foreign legion: buckets of blood,4.99,36000,0,0,0,1,0,1
star wars™ - knights of the old republic™,9.99,32370,0,1,0,20,4,19
star wars™ - knights of the old republic™,9.99,32370,0,0,0,20,4,19
osmos,9.99,29180,0,0,0,2,0,2
fallout 2: a post nuclear role playing game,9.99,38410,0,0,0,8,3,6
fallout tactics: brotherhood of steel,9.99,38420,0,0,0,2,1,1
"time gentlemen, please! and ben there, dan that! special edition  double pack",4.99,37400,0,1,0,1,0,1
"time gentlemen, please! and ben there, dan that! special edition  double pack",4.99,37400,0,0,0,1,0,1
tom clancy's splinter cell chaos theory®,9.99,13570,1,0,0,5,0,5
windosill,2.99,37600,0,1,0,1,0,1
windosill,2.99,37600,0,0,0,1,0,1
joint operations: combined arms gold,19.99,32770,1,0,0,1,0,1
machinarium,9.99,40700,0,1,0,6,0,6
machinarium,9.99,40700,0,0,0,6,0,6
medal of honor: airborne,9.99,24840,1,0,0,5,0,5
need for speed: shift,19.99,24870,0,0,0,1,0,1
torchlight,14.99,41500,0,0,0,7,1,6
command &amp; conquer: red alert 3 - uprising,19.99,24800,0,0,0,2,0,2
secret files: tunguska,9.99,40330,0,1,0,1,0,1
hammerfight,4.99,41100,1,0,0,2,1,3
hammerfight,4.99,41100,0,0,0,2,1,3
serious sam hd: the first encounter,14.99,41000,1,0,0,4,1,3
serious sam hd: the first encounter,14.99,41000,0,0,0,4,1,3
dragon age: origins,19.99,17450,0,0,0,4,0,4
call of duty®: modern warfare® 2,19.99,10180,1,0,0,74,15,65
lego® star wars™ - the complete saga,19.99,32440,0,1,0,3,0,3
overlord™,4.99,11450,0,0,0,6,1,5
command &amp; conquer 3: tiberium wars,14.99,24790,0,0,0,4,0,4
command &amp; conquer 3: kane's wrath,19.99,24810,0,0,0,2,1,1
gratuitous space battles,14.99,41800,0,0,0,4,0,5
wings of prey,9.99,45300,0,0,0,2,0,2
defence alliance 2,0.0,35420,1,0,0,2,0,4
star wars™ - the force unleashed™ ultimate sith edition,19.99,32430,1,0,0,5,4,4
fallout 3: game of the year edition,19.99,22370,0,0,0,59,10,51
roogoo,1.99,38210,0,0,0,3,2,1
devil may cry 4,19.99,45700,1,0,0,7,2,5
devil may cry 4,19.99,45700,0,1,0,7,2,5
"pirates, vikings, and knights ii",0.0,17570,1,0,0,10,3,7
"pirates, vikings, and knights ii",0.0,17570,0,0,1,10,3,7
"pirates, vikings, and knights ii",0.0,17570,0,0,0,10,3,7
serious sam classic: the first encounter,9.99,41050,1,0,0,1,0,1
serious sam classic: the first encounter,9.99,41050,0,0,0,1,0,1
mount &amp; blade: warband,19.99,48700,1,0,0,184,31,156
mount &amp; blade: warband,19.99,48700,0,0,0,184,31,156
lead and gold: gangs of the wild west,9.99,42120,1,0,0,0,1,0
grand theft auto: episodes from liberty city,19.99,12220,1,0,0,7,2,7
dark void™ zero,4.99,45730,1,0,0,0,0,1
dark void™ zero,4.99,45730,0,1,0,0,0,1
fortix,0.99,45400,0,0,0,2,1,1
beat hazard,9.99,49600,1,0,0,20,3,18
beat hazard,9.99,49600,0,0,0,20,3,18
m.u.d. tv,9.99,43500,0,0,0,0,1,0
the misadventures of p.b. winterbottom,4.99,40930,0,1,0,2,0,2
the misadventures of p.b. winterbottom,4.99,40930,0,0,0,2,0,2
flight of the icarus,4.99,49800,1,0,0,0,0,2
flight of the icarus,4.99,49800,0,0,0,0,0,2
alpha protocol™,14.99,34010,1,0,0,5,0,5
alpha protocol™,14.99,34010,0,0,0,5,0,5
alien breed: impact,9.99,22610,1,0,0,1,0,1
alien swarm,0.0,630,1,0,0,79,9,73
simcity™ 4 deluxe edition,19.99,24780,0,0,0,4,1,4
disciples iii - renaissance steam special edition,14.99,33670,0,0,0,1,0,1
kane &amp; lynch 2: dog days,9.99,28000,1,0,0,2,2,2
the guild ii renaissance,9.99,39680,0,0,0,0,0,1
fantasy wars,4.99,63900,0,0,0,1,0,1
mafia ii,29.99,50130,1,0,0,39,5,35
burn zombie burn!,9.99,50510,1,0,0,1,0,1
ship simulator extremes,19.99,48800,0,0,0,2,1,3
worms reloaded,19.99,22600,0,0,0,11,2,9
making history ii: the war of the world,14.99,46770,0,0,0,1,0,1
victoria ii,19.99,42960,0,0,0,9,2,8
cossacks: back to war,4.99,4850,0,0,0,1,0,1
broken sword: director's cut,5.99,57640,0,1,0,1,0,1
chime,4.99,62100,0,0,0,2,0,2
vvvvvv,4.99,70300,1,0,0,11,1,10
vvvvvv,4.99,70300,0,0,0,11,1,10
amnesia: the dark descent,19.99,57300,1,0,0,40,16,24
amnesia: the dark descent,19.99,57300,0,1,0,40,16,24
amnesia: the dark descent,19.99,57300,0,0,0,40,16,24
recettear: an item shop's tale,19.99,70400,0,0,0,12,1,11
hacker evolution,4.99,70100,0,0,0,2,0,2
faerie solitaire,9.99,38600,0,0,0,6,0,7
sid meier's civilization® v,29.99,8930,0,0,0,286,39,253
