user_id,playtime_forever,item_id,release_date,genres_Action,genres_Adventure,genres_Animation and Modeling
76561197970982479,6,10,2000,1,0,0
js41637,0,10,2000,1,0,0
Riot-Punch,0,10,2000,1,0,0
WeiEDKrSat,328,10,2000,1,0,0
Fr0stedLine,580,10,2000,1,0,0
76561198100701221,13,10,2000,1,0,0
jarrodtrim,337,10,2000,1,0,0
UTNerd24,5,10,2000,1,0,0
xfluttersx,17,10,2000,1,0,0
Bluezap1,0,10,2000,1,0,0
76561197990792016,12108,10,2000,1,0,0
Nfkted_CS,1410,10,2000,1,0,0
76561197994493402,1037,10,2000,1,0,0
xoFushiox,4523,10,2000,1,0,0
Myther43,50,10,2000,1,0,0
ohnospaghet,332,10,2000,1,0,0
76561198078478151,0,10,2000,1,0,0
76561198011661078,46,10,2000,1,0,0
76561198003688205,205234,10,2000,1,0,0
76561198088447673,1515,10,2000,1,0,0
deathnz1,49,10,2000,1,0,0
Borne901,1352,10,2000,1,0,0
mrpfresh,148,10,2000,1,0,0
GamerFag,125,10,2000,1,0,0
chidori_647,0,10,2000,1,0,0
76561198092227136,0,10,2000,1,0,0
-GM-Dragon,14,10,2000,1,0,0
76561197962104795,164,10,2000,1,0,0
Aaron_ggf,1,10,2000,1,0,0
76561197968819541,233,10,2000,1,0,0
WestyGaming,1934,10,2000,1,0,0
AMV72,20,10,2000,1,0,0
Andraison,83,10,2000,1,0,0
76561198039441595,2,10,2000,1,0,0
darkmassieh,0,10,2000,1,0,0
LaLocaDeLosDulces,47719,10,2000,1,0,0
omgihaveawebpage,0,10,2000,1,0,0
iDestrix,7,10,2000,1,0,0
Azrafael,0,10,2000,1,0,0
hoarbiscuit,724,10,2000,1,0,0
BAW_Killer,46,10,2000,1,0,0
76561197970168558,43,10,2000,1,0,0
ZUERA12,358,10,2000,1,0,0
76561197960694096,0,10,2000,1,0,0
Bennysaputra,24336,10,2000,1,0,0
Too_1337,184,10,2000,1,0,0
76561198048370750,119,10,2000,1,0,0
bitmat,8,10,2000,1,0,0
180577,99,10,2000,1,0,0
Barridos,2418,10,2000,1,0,0
Bluegills,0,10,2000,1,0,0
76561198055648263,89,10,2000,1,0,0
boogs17,41,10,2000,1,0,0
boydo,722,10,2000,1,0,0
saint556,2,10,2000,1,0,0
Vladimirputinisgreatman,227,10,2000,1,0,0
Br0wni3,125,10,2000,1,0,0
76561197988846047,0,10,2000,1,0,0
76561197978008006,11,10,2000,1,0,0
76561198075981950,80,10,2000,1,0,0
Butterz,0,10,2000,1,0,0
calii,48,10,2000,1,0,0
76561198048121243,17,10,2000,1,0,0
ConkerBirdy,0,10,2000,1,0,0
76561197966764681,1,10,2000,1,0,0
76561197996092338,0,10,2000,1,0,0
76561198077709322,65,10,2000,1,0,0
azkhernan123,30956,10,2000,1,0,0
76561197960281419,1403,10,2000,1,0,0
chidvd,263,10,2000,1,0,0
76561197961840584,0,10,2000,1,0,0
zaper151,215,10,2000,1,0,0
StrikerAustralia,74,10,2000,1,0,0
OldLeakyBoat,5,10,2000,1,0,0
czechit,54,10,2000,1,0,0
CustardGun,0,10,2000,1,0,0
76561197995146150,0,10,2000,1,0,0
daunknownman2010,529,10,2000,1,0,0
BlitzGames,501,10,2000,1,0,0
DaftyTM,0,10,2000,1,0,0
DakkeR,175,10,2000,1,0,0
6dighero,614,10,2000,1,0,0
76561198056953510,698,10,2000,1,0,0
BoyangBao,331,10,2000,1,0,0
76561198057406795,18,10,2000,1,0,0
76561198061601793,4028,10,2000,1,0,0
sir_afrodite,16,10,2000,1,0,0
zelmar,2705,10,2000,1,0,0
76561197983126861,1149,10,2000,1,0,0
76561197969800840,0,10,2000,1,0,0
Dragoten,9,10,2000,1,0,0
DrMolo,3,10,2000,1,0,0
76561198083892512,35,10,2000,1,0,0
76561198049435011,45,10,2000,1,0,0
Enigmedic,127,10,2000,1,0,0
76561198042410388,6,10,2000,1,0,0
76561198047996563,0,10,2000,1,0,0
FedeAcv2,2304,10,2000,1,0,0
EVED826,57184,10,2000,1,0,0
Horsefeces,267,10,2000,1,0,0
76561198068086235,787,10,2000,1,0,0
76561197978756659,0,10,2000,1,0,0
76561197960425229,0,10,2000,1,0,0
76561198057473311,375,10,2000,1,0,0
FiveCast,626,10,2000,1,0,0
76561198082157728,299,10,2000,1,0,0
Fliqi,72,10,2000,1,0,0
Anthonybasso,61,10,2000,1,0,0
Frankaloons,0,10,2000,1,0,0
76561197979324684,0,10,2000,1,0,0
76561197973525528,0,10,2000,1,0,0
76561197960575139,138,10,2000,1,0,0
2435689,0,10,2000,1,0,0
spydude119,19,10,2000,1,0,0
gatorgolfing,446,10,2000,1,0,0
76561197961702279,0,10,2000,1,0,0
76561198054819876,68789,10,2000,1,0,0
GREENMAN41,1990,10,2000,1,0,0
sphix,0,10,2000,1,0,0
xxxkennySopxxx,8,10,2000,1,0,0
Headap,14,10,2000,1,0,0
hellotherem8,6125,10,2000,1,0,0
76561198123074348,7,10,2000,1,0,0
CyberBlade,0,10,2000,1,0,0
76561198042823843,52,10,2000,1,0,0
76561198079621961,188,10,2000,1,0,0
b167er,70,10,2000,1,0,0
huy115,99,10,2000,1,0,0
Bhulb,5,10,2000,1,0,0
Huyest,2120,10,2000,1,0,0
zaintheking,0,10,2000,1,0,0
icesolo,10105,10,2000,1,0,0
76561198084946995,13366,10,2000,1,0,0
evejohnhoward,11,10,2000,1,0,0
ITCGaming101,10,10,2000,1,0,0
josechowyi,199,10,2000,1,0,0
Cubbyjack,20,10,2000,1,0,0
76561197967443671,115,10,2000,1,0,0
jawdoe,66,10,2000,1,0,0
lilnobody,145477,10,2000,1,0,0
MooPorridge,0,10,2000,1,0,0
jimmynoe,0,10,2000,1,0,0
TheLifeAndTimesOfTim,2,10,2000,1,0,0
76561197963914566,256,10,2000,1,0,0
76561198002075173,5095,10,2000,1,0,0
r3koil,33,10,2000,1,0,0
46366536564574576346346546,46,10,2000,1,0,0
76561198219902115,1,10,2000,1,0,0
TheKiwiMantis,36,10,2000,1,0,0
Klaathus,578,10,2000,1,0,0
76561197971128349,26,10,2000,1,0,0
NUZXD,524,10,2000,1,0,0
leo17453,68,10,2000,1,0,0
everybodylovesrayman,42843,10,2000,1,0,0
Lickidactyl,1446,10,2000,1,0,0
76561198070181964,30,10,2000,1,0,0
LionBrito,88,10,2000,1,0,0
76561198045068934,1083,10,2000,1,0,0
scummyladsRus,170,10,2000,1,0,0
LepraKorn,0,10,2000,1,0,0
mu5tang,0,10,2000,1,0,0
themanatas,10,10,2000,1,0,0
76561198094044284,87,10,2000,1,0,0
MARVOA,49,10,2000,1,0,0
SpecGames,663,10,2000,1,0,0
76561198045477012,90,10,2000,1,0,0
76561198056300439,523,10,2000,1,0,0
meowvel,0,10,2000,1,0,0
edilsoncordeiro,26335,10,2000,1,0,0
76561197967649169,10919,10,2000,1,0,0
76561197999306529,1439,10,2000,1,0,0
MortemSpiritus,61,10,2000,1,0,0
76561198067960427,18517,10,2000,1,0,0
mrmaveric,264,10,2000,1,0,0
killergrimes,4,10,2000,1,0,0
76561198004054009,0,10,2000,1,0,0
76561198295350017,29,10,2000,1,0,0
The_Muffin,1438,10,2000,1,0,0
Natty22,90307,10,2000,1,0,0
Gamernaut,3,10,2000,1,0,0
76561198060005945,0,10,2000,1,0,0
76561198089649301,0,10,2000,1,0,0
FagGamingM8,89,10,2000,1,0,0
nitrorupe,31,10,2000,1,0,0
briggsy195,0,10,2000,1,0,0
76561198006152035,29,10,2000,1,0,0
MeDragonNo,0,10,2000,1,0,0
GuiCreed368,261,10,2000,1,0,0
PiozZ,17556,10,2000,1,0,0
paddymazz,52,10,2000,1,0,0
homer1234,3048,10,2000,1,0,0
76561197960366346,27,10,2000,1,0,0
PenguinKnightPE,4,10,2000,1,0,0
76561198077895731,0,10,2000,1,0,0
76561198083163016,1711,10,2000,1,0,0
exaqt,5,10,2000,1,0,0
5975,43,10,2000,1,0,0
phatphal,0,10,2000,1,0,0
76561197971799489,3683,10,2000,1,0,0
PinkPyroGames,576,10,2000,1,0,0
76561197967794920,0,10,2000,1,0,0
76561197986613952,2967,10,2000,1,0,0
unlivingroy,0,10,2000,1,0,0
soulrainz,16644,10,2000,1,0,0
76561197970132164,0,10,2000,1,0,0
raviyn,13,10,2000,1,0,0
ravenmusicaus,125,10,2000,1,0,0
Redoxide,50,10,2000,1,0,0
76561198050449579,104,10,2000,1,0,0
76561198043802507,4358,10,2000,1,0,0
reservegoalie,5,10,2000,1,0,0
76561198044557792,363,10,2000,1,0,0
Revolver_,99,10,2000,1,0,0
rigormortis7,339,10,2000,1,0,0
rixs,0,10,2000,1,0,0
rockettwins,219,10,2000,1,0,0
RocketLauncherManiac,327,10,2000,1,0,0
rosencr4ntz,23,10,2000,1,0,0
76561198046497819,281,10,2000,1,0,0
76561198195478589,1,10,2000,1,0,0
76561198026079342,10598,10,2000,1,0,0
hentaisandysenpai,8,10,2000,1,0,0
76561198036022359,0,10,2000,1,0,0
76561198072676817,0,10,2000,1,0,0
goldnugget666,3,10,2000,1,0,0
76561197991787618,0,10,2000,1,0,0
mad1167,55,10,2000,1,0,0
76561198013055159,31,10,2000,1,0,0
76561197963469414,3177,10,2000,1,0,0
